Data obtained by running 
XCOM: MLC from W700MLC.pegs4inp
Then deleting lines corresponding to L, M, K lines.....

Constituents (Atomic Number : Fraction by Weight)

 Z=26   : 0.020000
 Z=28   : 0.060000
 Z=29   : 0.020000
 Z=74   : 0.900000

       PHOTON      SCATTERING      PHOTO-    PAIR PRODUCTION  TOTAL ATTENUATION
       ENERGY   COHERENT INCOHER. ELECTRIC    IN       IN       WITH   WITHOUT
                                 ABSORPTION NUCLEAR ELECTRON  COHERENT COHERENT
                                             FIELD    FIELD    SCATT.   SCATT.
        (MeV)    (cm2/g)  (cm2/g)  (cm2/g)  (cm2/g)  (cm2/g)  (cm2/g)  (cm2/g)

       1.000E-03 1.08E+01 4.67E-03 4.29E+03 0.00E+00 0.00E+00 4.30E+03 4.29E+03
       1.004E-03 1.08E+01 4.70E-03 4.25E+03 0.00E+00 0.00E+00 4.26E+03 4.25E+03
       1.008E-03 1.08E+01 4.72E-03 4.22E+03 0.00E+00 0.00E+00 4.23E+03 4.22E+03

       1.051E-03 1.07E+01 5.01E-03 3.93E+03 0.00E+00 0.00E+00 3.94E+03 3.93E+03
       1.096E-03 1.07E+01 5.32E-03 3.60E+03 0.00E+00 0.00E+00 3.61E+03 3.60E+03

       1.500E-03 1.03E+01 8.12E-03 1.88E+03 0.00E+00 0.00E+00 1.89E+03 1.88E+03
       1.809E-03 1.00E+01 1.02E-02 1.24E+03 0.00E+00 0.00E+00 1.25E+03 1.24E+03

       1.840E-03 9.99E+00 1.04E-02 1.98E+03 0.00E+00 0.00E+00 1.99E+03 1.98E+03
       1.872E-03 9.96E+00 1.06E-02 2.80E+03 0.00E+00 0.00E+00 2.81E+03 2.80E+03

       2.000E-03 9.82E+00 1.14E-02 3.72E+03 0.00E+00 0.00E+00 3.73E+03 3.72E+03
       2.281E-03 9.53E+00 1.32E-02 2.68E+03 0.00E+00 0.00E+00 2.69E+03 2.68E+03

       2.423E-03 9.38E+00 1.41E-02 2.66E+03 0.00E+00 0.00E+00 2.67E+03 2.66E+03
       2.575E-03 9.24E+00 1.50E-02 2.29E+03 0.00E+00 0.00E+00 2.30E+03 2.29E+03

       2.694E-03 9.11E+00 1.58E-02 2.19E+03 0.00E+00 0.00E+00 2.20E+03 2.19E+03
       2.820E-03 8.99E+00 1.65E-02 1.97E+03 0.00E+00 0.00E+00 1.97E+03 1.97E+03

       3.000E-03 8.80E+00 1.77E-02 1.77E+03 0.00E+00 0.00E+00 1.78E+03 1.77E+03
       4.000E-03 7.85E+00 2.36E-02 8.85E+02 0.00E+00 0.00E+00 8.92E+02 8.85E+02
       5.000E-03 7.01E+00 2.92E-02 5.08E+02 0.00E+00 0.00E+00 5.15E+02 5.08E+02
       6.000E-03 6.26E+00 3.45E-02 3.20E+02 0.00E+00 0.00E+00 3.27E+02 3.20E+02
       7.112E-03 5.55E+00 3.98E-02 2.07E+02 0.00E+00 0.00E+00 2.13E+02 2.07E+02

       8.000E-03 5.05E+00 4.37E-02 1.59E+02 0.00E+00 0.00E+00 1.64E+02 1.59E+02
       8.333E-03 4.88E+00 4.51E-02 1.43E+02 0.00E+00 0.00E+00 1.47E+02 1.43E+02

       8.650E-03 4.73E+00 4.64E-02 1.45E+02 0.00E+00 0.00E+00 1.50E+02 1.45E+02
       8.979E-03 4.57E+00 4.76E-02 1.32E+02 0.00E+00 0.00E+00 1.36E+02 1.32E+02

       1.000E-02 4.14E+00 5.14E-02 1.03E+02 0.00E+00 0.00E+00 1.07E+02 1.03E+02
       1.021E-02 4.06E+00 5.21E-02 9.79E+01 0.00E+00 0.00E+00 1.02E+02 9.80E+01

       1.085E-02 3.82E+00 5.43E-02 1.91E+02 0.00E+00 0.00E+00 1.95E+02 1.91E+02
       1.154E-02 3.59E+00 5.65E-02 1.62E+02 0.00E+00 0.00E+00 1.66E+02 1.62E+02

       1.182E-02 3.50E+00 5.74E-02 2.06E+02 0.00E+00 0.00E+00 2.10E+02 2.06E+02
       1.210E-02 3.42E+00 5.82E-02 1.95E+02 0.00E+00 0.00E+00 1.98E+02 1.95E+02

       1.500E-02 2.68E+00 6.61E-02 1.29E+02 0.00E+00 0.00E+00 1.32E+02 1.29E+02
       2.000E-02 1.89E+00 7.67E-02 6.03E+01 0.00E+00 0.00E+00 6.23E+01 6.04E+01
       3.000E-02 1.12E+00 9.06E-02 2.03E+01 0.00E+00 0.00E+00 2.15E+01 2.03E+01
       4.000E-02 7.35E-01 9.82E-02 9.21E+00 0.00E+00 0.00E+00 1.00E+01 9.31E+00
       5.000E-02 5.19E-01 1.02E-01 4.97E+00 0.00E+00 0.00E+00 5.59E+00 5.08E+00
       6.000E-02 3.89E-01 1.04E-01 2.99E+00 0.00E+00 0.00E+00 3.49E+00 3.10E+00
       6.953E-02 3.07E-01 1.05E-01 1.98E+00 0.00E+00 0.00E+00 2.40E+00 2.09E+00

       8.000E-02 2.44E-01 1.06E-01 6.75E+00 0.00E+00 0.00E+00 7.10E+00 6.85E+00
       1.000E-01 1.68E-01 1.05E-01 3.76E+00 0.00E+00 0.00E+00 4.04E+00 3.87E+00
       1.500E-01 8.19E-02 9.97E-02 1.26E+00 0.00E+00 0.00E+00 1.44E+00 1.36E+00
       2.000E-01 4.88E-02 9.39E-02 5.79E-01 0.00E+00 0.00E+00 7.22E-01 6.73E-01
